shooting_count
76
77
92
84
71
65
104
94
82
84
77
88
81
86
92
73
74
92
72
82
78
77
77
78
92
100
76
67
74
84
94
82
70
85
84
78
99
80
109
98
83
81
89
74
55
75
77
71
94
72
88
71
74
86
80
86
78
90
77
106
89
80
94
77
110
